orderID|coupon1Used|coupon2Used|coupon3Used|basketValue
6054|1|0|1|139.25
6055|1|0|0|309.03
6056|1|1|0|277.03
6057|0|0|1|186.63
6058|0|0|0|475.46
6059|1|0|0|216.45
6060|1|0|0|186.26
6061|1|0|1|279.48
6062|0|1|1|273.83
6063|1|0|0|186.49
6064|1|0|0|135.36
6065|0|1|1|194.27
6066|0|0|1|156.99
6067|0|0|0|212.56
6068|1|0|1|487.88
6069|1|1|0|142.82
6070|1|0|0|121.84
6071|1|0|0|185.47
6072|0|0|1|301.76
6073|0|0|0|185.56
6074|1|0|0|111.28
6075|1|0|0|195.24
6076|0|0|0|1637.24
6077|0|0|0|192.74
6078|0|0|0|232.24
6079|1|0|0|148.47
6080|0|0|0|99.52
6081|0|0|0|276.24
6082|0|0|0|243.31
6083|0|1|0|216.64
6084|1|0|0|234.19
6085|0|0|0|94.38
6086|0|0|0|205.34
6087|0|0|0|219.79
6088|0|0|0|109.11
6089|0|0|0|137.73
6090|0|1|0|106.47
6091|0|0|0|593.97
6092|0|0|0|140.41
6093|0|0|0|99.06
6094|1|0|1|220.11
6095|1|0|0|543.17
6096|0|0|1|267.53
6097|0|0|0|294.76
6098|0|0|0|98.46
6099|0|1|0|185.52
6100|0|0|0|279.48
6101|1|1|0|248.96
6102|0|0|0|290.5
6103|0|0|0|207.84
6104|0|0|1|145.55
6105|0|1|0|215.06
6106|0|0|0|121.1
6107|1|0|0|742.16
6108|0|0|0|222.57
6109|0|0|0|160.74
6110|0|0|0|367.84
6111|1|0|0|185.84
6112|1|1|1|190.2
6113|0|0|0|112.9
6114|0|0|0|311.25
6115|0|0|1|106.47
6116|1|1|1|196.12
6117|0|0|0|265.77
6118|0|0|0|212.61
6119|0|0|0|758.14
6120|0|0|0|111.93
6121|1|1|0|304.16
6122|0|0|0|187.88
6123|0|0|0|578.32
6124|0|0|0|309.54
6125|0|1|0|185.38
6126|0|0|0|235.95
6127|0|0|0|286.61
6128|0|0|0|288.56
6129|1|0|0|187.05
6130|1|1|0|208.86
6131|0|0|1|187.09
6132|0|0|0|273.09
6133|0|0|0|273.09
6134|0|0|0|273.23
6135|0|0|0|188.3
6136|0|0|0|185.75
6137|0|0|0|274.94
6138|1|0|0|232.29
6139|0|0|1|224
6140|0|0|0|251.23
6141|0|0|0|102.48
6142|0|0|0|109.29
6143|0|0|0|186.12
6144|1|0|1|300
6145|1|0|1|149.03
6146|0|0|0|221.27
6147|0|0|0|315.74
6148|0|0|0|507.7
6149|0|0|0|236.04
6150|0|0|0|315.74
6151|0|0|0|193.3
6152|0|0|0|297.36
6153|1|0|0|276.84
6154|1|0|0|188.3
6155|0|0|0|186.63
6156|0|0|0|102.25
6157|0|0|0|134.25
6158|0|0|0|1413.1
6159|0|0|0|312.08
6160|0|0|0|189.22
6161|0|0|0|297.59
6162|0|0|0|149.3
6163|0|0|0|679.14
6164|0|1|0|189.41
6165|0|0|0|164.86
6166|0|0|0|297.36
6167|1|1|1|361.68
6168|0|1|0|384.47
6169|1|0|0|307.82
6170|0|1|0|355.01
6171|0|0|0|337.46
6172|0|0|0|327.13
6173|1|0|0|346.63
6174|0|0|0|208.95
6175|0|0|0|308.66
6176|0|0|0|185.24
6177|0|0|0|106.42
6178|0|0|0|308.66
6179|0|0|0|475.05
6180|0|0|0|308.66
6181|1|0|0|97.25
6182|1|0|0|95.31
6183|1|1|0|515.66
6184|0|0|0|183.48
6185|0|0|0|308.66
6186|0|1|1|756.89
6187|0|0|0|301.85
6188|1|1|0|142.5
6189|1|0|0|226.69
6190|0|1|0|203.02
6191|0|0|0|192.83
6192|0|0|0|236.55
6193|0|0|0|301.85
6194|0|1|0|186.68
6195|0|0|0|392.57
6196|0|0|0|224.14
6197|0|1|0|269.34
6198|0|0|0|172.23
6199|0|1|1|470.37
6200|0|0|0|266.93
6201|1|0|0|140.6
6202|0|0|0|197.23
6203|1|0|1|129.76
6204|0|0|0|191.68
6205|0|0|0|379.74
6206|0|1|0|336.3
6207|0|0|0|183.76
6208|0|0|0|305.18
6209|0|0|0|399.75
6210|0|0|0|231.55
6211|0|0|0|231.55
6212|0|0|0|221.82
6213|0|0|0|195.06
6214|0|0|0|189.69
6215|0|0|0|413.55
6216|0|0|0|185.29
6217|1|0|0|578.64
6218|0|0|0|297.36
6219|0|0|0|332.74
6220|0|0|0|450.83
6221|0|0|0|139.86
6222|1|0|0|234.56
6223|0|0|0|265.59
6224|1|1|0|197.88
6225|0|0|1|233.22
6226|1|0|0|187.42
6227|0|0|0|245.95
6228|0|1|1|205.2
6229|0|0|0|345.19
6230|0|0|0|642.55
6231|0|0|0|320.42
6232|0|0|0|141.15
6233|0|0|0|192.97
6234|0|0|0|202.19
6235|0|1|0|225.62
6236|0|0|0|225.48
6237|0|1|0|176.77
6238|0|0|0|186.68
6239|0|0|0|208.77
6240|0|0|0|504.87
6241|1|1|0|188.85
6242|0|0|0|196.86
6243|0|0|0|187.09
6244|0|0|0|317.08
6245|0|0|0|257.39
6246|1|0|0|188.02
6247|0|1|1|220.85
6248|0|0|1|246.92
6249|0|0|0|160.51
6250|0|1|1|203.76
6251|0|0|0|204.74
6252|0|0|0|190.7
6253|1|1|1|260.12
6254|1|0|0|187.14
6255|0|0|0|192.09
6256|1|0|0|1971.79
6257|0|0|0|135.09
6258|0|0|0|189.13
6259|1|0|0|463.89
6260|0|0|1|185.33
6261|1|0|0|199.5
6262|0|1|0|188.39
6263|0|0|1|139.58
6264|0|0|0|197.98
6265|0|0|0|154.07
6266|0|0|0|605.78
6267|1|0|0|176.07
6268|0|1|1|190.06
6269|1|1|1|141.62
6270|0|1|1|254.33
6271|0|0|0|264.85
6272|0|0|0|425.13
6273|0|0|1|139.12
6274|0|0|0|310.28
6275|0|0|0|186.54
6276|0|0|0|187.09
6277|0|0|0|262.44
6278|0|0|0|291.85
6279|0|0|0|187.79
6280|0|1|0|1009.97
6281|0|0|0|354.18
6282|0|0|0|206.73
6283|0|0|0|217.7
6284|0|0|0|186.68
6285|0|0|0|185.43
6286|0|0|0|94.94
6287|0|0|0|197.42
6288|1|0|0|187.88
6289|0|0|0|304.4
6290|0|0|0|345.66
6291|0|0|1|182.69
6292|0|0|1|161.25
6293|0|1|0|274.02
6294|0|0|0|442.12
6295|0|1|0|332.74
6296|0|0|0|187
6297|0|0|0|361.13
6298|0|0|0|144.26
6299|0|0|0|223.45
6300|0|0|0|213.49
6301|1|1|0|209.18
6302|0|0|0|133.51
6303|1|0|1|185.84
6304|0|0|0|259.57
6305|0|0|0|112.35
6306|0|0|0|275.54
6307|0|0|0|191.17
6308|0|0|0|543.12
6309|0|1|0|201.22
6310|0|0|0|2191.53
6311|0|0|1|257.99
6312|0|0|0|116.19
6313|0|0|0|819.78
6314|0|0|0|186.68
6315|0|0|0|191.68
6316|0|0|0|145.55
6317|0|1|0|206.59
6318|0|0|0|214.32
6319|0|0|0|135.5
6320|1|0|0|331.35
6321|1|0|0|296.62
6322|0|0|0|279.57
6323|1|0|0|216.96
6324|0|0|1|197.56
6325|0|0|0|185.66
6326|0|0|0|368.95
6327|1|0|1|147.82
6328|0|0|0|226.64
6329|0|0|0|180.01
6330|0|0|0|269.2
6331|0|0|0|219.46
6332|0|0|0|271.01
6333|0|0|0|188.25
6334|0|0|0|192.09
6335|0|0|0|514.41
6336|0|0|0|378.68
6337|1|0|0|211.68
6338|0|0|0|226.87
6339|0|0|0|189.45
6340|1|0|0|176.58
6341|0|0|0|262.81
6342|0|0|0|164.96
6343|0|0|0|108.27
6344|0|0|1|145.83
6345|0|0|0|139.49
6346|0|0|1|357
6347|0|0|0|896.93
6348|1|1|1|96.14
6349|0|0|0|251.23
6350|0|0|0|186.26
6351|0|0|0|93.82
6352|0|0|0|188.62
6353|0|0|0|118.65
6354|1|0|0|131.75
6355|0|0|0|207.1
6356|0|0|0|367.42
6357|0|0|0|140.64
6358|0|0|0|148.79
6359|0|0|0|278.83
6360|1|0|0|326.99
6361|0|0|0|160.7
6362|0|0|0|104.94
6363|0|0|0|235.12
6364|0|1|1|201.45
6365|0|1|1|163.06
6366|0|0|0|444.07
6367|0|0|0|163.01
6368|0|0|0|364.78
6369|0|0|0|246.83
6370|1|0|1|226.36
6371|0|0|0|219.05
6372|1|0|0|123.88
6373|0|1|0|234.14
6374|0|0|0|243.03
6375|0|0|0|410.91
6376|0|0|0|205.85
6377|0|1|0|47.88
6378|1|0|0|203.49
6379|0|0|0|425.22
6380|0|0|0|214.88
6381|0|0|0|171.44
6382|0|0|0|560.58
6383|0|0|0|242.85
6384|1|0|1|204.64
6385|0|0|0|403.78
6386|0|0|0|767.96
6387|0|0|0|328.94
6388|0|0|0|367.28
6389|0|0|0|248.13
6390|0|0|1|158.38
6391|0|1|0|232.71
6392|0|0|0|192.6
6393|1|0|0|458.7
6394|0|0|0|207.75
6395|0|1|1|259.06
6396|0|0|0|241.23
